Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:    2 | PC: 0008 | Act: 0x00010537 | t0:0 a0:65536 a1:0
Tick:    3 | PC: 000C | Act: 0x00050513 | t0:0 a0:65536 a1:0
Tick:    4 | PC: 0010 | Act: 0x038000EF | t0:0 a0:65536 a1:0
Tick:    5 | PC: 0048 | Act: 0x00050293 | t0:65536 a0:65536 a1:0
Tick:    6 | PC: 004C | Act: 0x0002A303 | t0:65536 a0:65536 a1:0
Tick:    7 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:    8 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:    9 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   10 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   11 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   12 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   13 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   14 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   15 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   16 | PC: 0050 | Act: STALL      | t0:65536 a0:65536 a1:0
Tick:   17 | PC: 0050 | Act: 0x00030863 | t0:65536 a0:65536 a1:0
Tick:   18 | PC: 0054 | Act: 0x00603073 | t0:65536 a0:65536 a1:0
Tick:   19 | PC: 0058 | Act: 0x00428293 | t0:65540 a0:65536 a1:0
Tick:   20 | PC: 005C | Act: 0xFF1FF06F | t0:65540 a0:65536 a1:0
Tick:   21 | PC: 004C | Act: 0x0002A303 | t0:65540 a0:65536 a1:0
Tick:   22 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   23 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   24 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   25 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   26 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   27 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   28 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   29 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   30 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   31 | PC: 0050 | Act: STALL      | t0:65540 a0:65536 a1:0
Tick:   32 | PC: 0050 | Act: 0x00030863 | t0:65540 a0:65536 a1:0
