Tick:    1 | PC: 0000 | Act: 0x00010437 | t0:0 a0:0 a1:0
Tick:    2 | PC: 0004 | Act: 0x00040413 | t0:0 a0:0 a1:0
Tick:    3 | PC: 0008 | Act: 0x00042503 | t0:0 a0:77 a1:0
Tick:    4 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:    5 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:    6 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:    7 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:    8 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:    9 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:   10 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:   11 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:   12 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:   13 | PC: 000C | Act: STALL      | t0:0 a0:77 a1:0
Tick:   14 | PC: 000C | Act: 0x00050863 | t0:0 a0:77 a1:0
Tick:   15 | PC: 0010 | Act: 0x00A03073 | t0:0 a0:77 a1:0
Tick:   16 | PC: 0014 | Act: 0x00440413 | t0:0 a0:77 a1:0
Tick:   17 | PC: 0018 | Act: 0xFF1FF06F | t0:0 a0:77 a1:0
Tick:   18 | PC: 0008 | Act: 0x00042503 | t0:0 a0:65 a1:0
Tick:   19 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   20 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   21 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   22 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   23 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   24 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   25 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   26 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   27 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   28 | PC: 000C | Act: STALL      | t0:0 a0:65 a1:0
Tick:   29 | PC: 000C | Act: 0x00050863 | t0:0 a0:65 a1:0
Tick:   30 | PC: 0010 | Act: 0x00A03073 | t0:0 a0:65 a1:0
Tick:   31 | PC: 0014 | Act: 0x00440413 | t0:0 a0:65 a1:0
Tick:   32 | PC: 0018 | Act: 0xFF1FF06F | t0:0 a0:65 a1:0
Tick:   33 | PC: 0008 | Act: 0x00042503 | t0:0 a0:67 a1:0
Tick:   34 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   35 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   36 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   37 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   38 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   39 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   40 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   41 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   42 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   43 | PC: 000C | Act: STALL      | t0:0 a0:67 a1:0
Tick:   44 | PC: 000C | Act: 0x00050863 | t0:0 a0:67 a1:0
Tick:   45 | PC: 0010 | Act: 0x00A03073 | t0:0 a0:67 a1:0
Tick:   46 | PC: 0014 | Act: 0x00440413 | t0:0 a0:67 a1:0
Tick:   47 | PC: 0018 | Act: 0xFF1FF06F | t0:0 a0:67 a1:0
Tick:   48 | PC: 0008 | Act: 0x00042503 | t0:0 a0:82 a1:0
Tick:   49 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   50 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   51 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   52 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   53 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   54 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   55 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   56 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   57 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   58 | PC: 000C | Act: STALL      | t0:0 a0:82 a1:0
Tick:   59 | PC: 000C | Act: 0x00050863 | t0:0 a0:82 a1:0
Tick:   60 | PC: 0010 | Act: 0x00A03073 | t0:0 a0:82 a1:0
Tick:   61 | PC: 0014 | Act: 0x00440413 | t0:0 a0:82 a1:0
Tick:   62 | PC: 0018 | Act: 0xFF1FF06F | t0:0 a0:82 a1:0
Tick:   63 | PC: 0008 | Act: 0x00042503 | t0:0 a0:79 a1:0
Tick:   64 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   65 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   66 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   67 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   68 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   69 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   70 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   71 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   72 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   73 | PC: 000C | Act: STALL      | t0:0 a0:79 a1:0
Tick:   74 | PC: 000C | Act: 0x00050863 | t0:0 a0:79 a1:0
Tick:   75 | PC: 0010 | Act: 0x00A03073 | t0:0 a0:79 a1:0
Tick:   76 | PC: 0014 | Act: 0x00440413 | t0:0 a0:79 a1:0
Tick:   77 | PC: 0018 | Act: 0xFF1FF06F | t0:0 a0:79 a1:0
Tick:   78 | PC: 0008 | Act: 0x00042503 | t0:0 a0:0 a1:0
Tick:   79 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   80 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   81 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   82 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   83 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   84 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   85 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   86 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   87 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   88 | PC: 000C | Act: STALL      | t0:0 a0:0 a1:0
Tick:   89 | PC: 000C | Act: 0x00050863 | t0:0 a0:0 a1:0
Tick:   90 | PC: 001C | Act: 0x00A00513 | t0:0 a0:10 a1:0
Tick:   91 | PC: 0020 | Act: 0x00A03073 | t0:0 a0:10 a1:0
Tick:   92 | PC: 0024 | Act: HALT       | t0:0 a0:10 a1:0
